,Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
781,Lukas Van Ness,17,0,0,0,0,0,0,1,0,1,0,0,3.0,33,22,11,6,6,0,0
782,James Lynch,17,0,0,0,0,0,2,0,0,0,0,0,1.0,20,6,14,2,2,0,0
783,Jordan Jackson,17,0,0,0,0,0,0,1,0,0,0,0,1.0,17,4,13,1,2,0,0
784,Daniel Hardy,17,0,0,0,0,0,0,1,0,0,0,0,0.0,12,7,5,0,0,0,0
785,Karl Brooks,17,0,0,0,0,0,2,1,0,3,0,0,3.5,24,14,10,4,6,0,0
786,Austin Booker,17,0,0,0,0,0,0,0,0,0,0,0,1.5,21,14,7,3,4,0,0
787,Zach Harrison,17,1,0,0,0,0,2,0,0,0,0,0,1.0,26,6,20,3,1,1,0
788,William Gholston,17,3,0,0,0,0,0,0,0,0,0,0,1.0,12,6,6,1,4,0,0
789,Morgan Fox,17,3,0,0,0,0,1,0,0,0,0,0,3.5,27,19,8,4,6,0,0
790,Kingsley Enagbare,17,7,0,0,0,0,0,2,0,0,0,0,4.5,39,18,21,6,8,0,0
791,Kendal Vickers,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,0
792,T.Y. McGill,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,1,0,0
793,Zion Logue,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,0
794,Brandon Dorlus,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,0
795,Eli Ankou,2,0,0,0,0,0,0,0,0,0,0,0,0.0,5,1,4,0,0,0,0
796,Marlon Tuipulotu,2,1,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,1,0,0,0
797,Leki Fotu,2,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,0
798,T.J. Smith,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,0
799,Sam Roberts,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0
800,Jayden Peevy,4,0,0,0,0,0,1,1,0,0,0,0,1.5,6,2,4,1,3,0,0
801,Christian Barmore,4,0,0,0,0,0,0,0,0,0,0,0,1.0,6,6,0,1,1,0,0
802,Esezi Otomewo,4,2,0,0,0,0,0,0,0,1,0,0,0.5,4,0,4,0,2,0,0
803,Lawrence Guy,4,2,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,0
804,Armon Watts,5,0,0,0,0,0,0,0,0,0,0,0,0.0,7,3,4,2,0,0,0
805,Adam Gotsis,5,0,0,0,0,0,0,0,0,0,0,0,0.0,8,4,4,0,2,0,0
806,Jaden Crumedy,5,0,0,0,0,0,0,0,0,0,0,0,0.5,13,4,9,0,1,0,0
807,Christian Wilkins,5,5,0,0,0,0,0,0,0,0,0,0,2.0,17,11,6,2,6,0,0
808,Jowon Briggs,6,0,0,0,0,0,0,0,0,1,0,0,0.0,13,3,10,1,2,0,0
809,Khristian Boyd,6,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,0
810,Jaquelin Roy,6,1,0,0,0,0,0,0,0,0,0,0,2.0,17,12,5,3,2,0,0
811,Nesta Jade Silvera,7,0,0,0,0,0,0,0,0,0,0,0,0.0,8,2,6,0,0,0,0
812,Neil Farrell,7,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,1,0,0
813,Matthew Butler,7,1,0,0,0,0,0,0,0,0,0,0,0.0,9,4,5,0,0,0,0
814,Sheldon Rankins,7,7,0,0,0,0,0,0,0,0,0,0,1.0,18,10,8,1,1,0,0
815,Tommy Togiai,8,0,0,0,0,0,2,0,0,0,0,0,1.5,28,11,17,2,2,0,0
816,Brandon Pili,8,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,0
817,Ruke Orhorhoro,8,0,0,0,0,0,0,0,0,0,0,0,0.0,11,4,7,1,1,0,0
818,Jordan Jefferson,8,0,0,0,0,0,1,0,0,0,0,0,1.0,12,5,7,1,1,0,0
819,Maurice Hurst Jr.,8,2,0,0,0,0,0,0,0,0,0,0,0.5,16,9,7,4,1,0,0
820,Michael Hall,8,3,0,0,0,0,0,0,0,0,0,0,1.0,14,8,6,3,6,0,0
821,Jonathan Allen,8,7,0,0,0,0,0,0,0,0,0,0,3.0,19,16,3,3,7,0,0
822,Jordan Phillips,9,0,1,2,0,2,1,0,0,0,0,0,0.0,6,4,2,0,2,0,0
823,Nick Thurman,9,4,0,0,0,0,0,0,0,0,0,0,0.0,19,6,13,1,0,0,0
824,Kurt Hinish,10,0,0,0,0,0,0,0,0,0,0,0,0.0,12,5,7,2,0,0,0
825,Eric Johnson,11,0,0,0,0,0,0,0,0,0,0,0,0.0,17,2,15,0,0,0,0
826,Montravius Adams,11,0,0,0,0,0,0,0,0,0,0,0,1.0,14,9,5,2,1,0,0
827,DeWayne Carter,11,3,0,0,0,0,1,0,0,0,0,0,0.0,14,11,3,5,3,0,0
828,Maason Smith,11,5,0,0,0,0,3,0,0,0,0,0,3.0,17,10,7,3,4,0,0
