Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
dre'mont jones,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,49.0,26.0,23.0,5.0,12.0,0.0,0.0
dylan horton,11.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,14.5,7.0,7.5,1.0,2.0,0.0,0.0
earnest brown iv,6.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.5,4.5,0.5,0.0,0.0,0.0
ed oliver,16.0,16.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,9.5,51.0,34.0,17.0,14.0,16.0,0.0,0.0
efe obada,9.5,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.875,10.5,6.25,4.25,1.75,4.0,0.0,0.0
elerson smith,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5.0,1.5,3.5,0.0,1.0,0.0,0.0
eli ankou,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,6.0,2.0,4.0,0.3333333333333333,0.3333333333333333,0.0,0.0
elijah chatman,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,11.0,10.0,2.0,3.0,0.0,0.0
elijah garcia,3.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,6.333333333333333,2.3333333333333335,4.0,0.6666666666666666,0.6666666666666666,0.0,0.0
emmanuel ogbah,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,7.0,4.0,1.0,7.0,0.0,0.0
eric banks,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0
eric johnson,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,11.666666666666666,3.0,8.666666666666666,0.3333333333333333,1.0,0.0,0.0
eric watts,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,6.0,0.0,0.0,0.0,0.0
esezi otomewo,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,4.5,1.5,3.0,0.5,1.0,0.0,0.0
ethan westbrooks,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
evan anderson,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,24.0,13.0,11.0,2.0,2.0,0.0,0.0
eyioma uwazurike,6.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,14.0,7.0,7.0,0.0,1.5,0.0,0.0
felix anudike-uzomah,17.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.5,20.5,12.0,8.5,4.0,7.0,0.0,0.0
forrest merrill,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0
frank clark,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0
frank herron,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
freedom akinmoladun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
george karlaftis iii,16.0,16.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,10.5,47.0,29.0,18.0,7.0,17.0,0.0,0.0
gervon dexter,17.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.5,20.0,13.0,7.0,0.0,12.0,0.0,0.0
